"","jobId","industry","normTitle","normTitleCategory","descriptionCharacterLength","descriptionWordCount","experienceRequired","estimatedSalary","industry_dich","normTitle_dich","normTitleCategory_dich","experienceRequired_dich","mean_clicks"
"120","job0002891",NA,"security engineer","engid",2762,432,NA,113400,0,1,1,0,13
"121","job0002909",NA,"loan officer","sales",1909,371,NA,81200,0,1,1,0,13.2666666666667
"122","job0002915",NA,"real estate manager","realestate",2312,341,8,71600,0,1,1,1,13.7333333333333
"123","job0002943",NA,"laboratory assistant","science",2200,327,NA,40000,0,1,1,0,21.125
"124","job0002958","HEALTH_CARE","psychiatric nurse","mednurse",1400,212,3,81900,1,1,1,1,19.6363636363636
"125","job0002959","HEALTH_CARE","x-ray technician","medtech",2242,316,NA,56200,1,1,1,0,18.375
"126","job0002960",NA,"operator","install",1520,305,NA,20600,0,1,1,0,4
"127","job0002962","HEALTH_CARE","senior manager","management",5322,704,5,69700,1,1,1,1,17.3333333333333
"128","job0002980",NA,"principal architect","arch",11892,1738,NA,89400,0,1,1,0,16
"129","job0002983",NA,"call center representative","customer",2215,398,NA,39000,0,1,1,0,16
"130","job0003000",NA,"senior financial analyst","accounting",2084,369,3,74200,0,1,1,1,25
"131","job0003006",NA,"senior office manager","admin",1805,299,3,43500,0,1,1,1,21
"132","job0003011",NA,"senior office manager","admin",2188,321,2,48900,0,1,1,1,19.25
"133","job0003094",NA,"repair technician","install",1382,298,NA,39600,0,1,1,0,9
"134","job0003121",NA,"laboratory assistant","science",1193,185,NA,27500,0,1,1,0,18
"135","job0003156",NA,"administrative assistant","admin",1544,222,4,34700,0,1,1,1,19.8571428571429
"136","job0003193",NA,"foreman","management",673,122,3,40500,0,1,1,1,21.5625
"137","job0003231",NA,NA,NA,1316,255,NA,19600,0,0,0,0,13.5294117647059
"138","job0003290","HEALTH_CARE","patient services representative","medinfo",388,54,NA,33700,1,1,1,0,16.7333333333333
"139","job0003299",NA,"senior quality assurance engineer","techsoftware",2874,477,7,117000,0,1,1,1,15.6
"140","job0003306",NA,"electrical engineer","engelectric",3571,515,3,85500,0,1,1,1,14.8333333333333
"141","job0003308",NA,"outside sales representative","sales",577,160,NA,48300,0,1,1,0,14
"142","job0003317","CONSTRUCTION,CONSUMER_GOODS_AND_SERVICES","pest control technician","service",4995,792,0,25800,1,1,1,1,13
"143","job0003333",NA,"retail sales associate","retail",2410,379,NA,20900,0,1,1,0,4
"144","job0003348",NA,"systems administrator","techhelp",2729,397,2,66700,0,1,1,1,17.6666666666667
"145","job0003392",NA,"stock supervisor","retail",1822,248,2,21400,0,1,1,1,16
"146","job0003394",NA,"senior network engineer","techhelp",1065,154,10,121100,0,1,1,1,24
"147","job0003395",NA,"executive assistant","admin",6819,960,5,46900,0,1,1,1,16.4666666666667
"148","job0003409",NA,"senior investment analyst","finance",1296,221,4,82000,0,1,1,1,14.5
"149","job0003433",NA,"outreach specialist","service",2441,373,NA,33900,0,1,1,0,16.5294117647059
"150","job0003457","INDUSTRIAL_MANUFACTURING","outside sales representative","sales",2985,514,1,64700,1,1,1,1,10.4615384615385
"151","job0003463",NA,"web developer","techsoftware",557,123,NA,37300,0,1,1,0,17.5
"152","job0003470","RESTAURANTS_TRAVEL_AND_LEISURE","beverage server","food",1024,148,NA,19500,1,1,1,0,12.25
"153","job0003507",NA,"videographer","arts",1895,334,NA,62400,0,1,1,0,28.375
"154","job0003583",NA,"faculty","education",3366,511,6,111000,0,1,1,1,3
"155","job0003592",NA,"construction manager","management",2718,362,7,89200,0,1,1,1,8.8
"156","job0003603","CONSULTING_AND_BUSINESS_SERVICES","photographer","media",4230,710,5,20900,1,1,1,1,16
"157","job0003611",NA,"maintenance person","install",3253,571,NA,16600,0,1,1,0,10.0714285714286
"158","job0003628","FOOD_AND_BEVERAGES","cashier","retail",1112,177,NA,18400,1,1,1,0,12.4444444444444
"159","job0003632",NA,"package handler","warehouse",1677,294,0,20300,0,1,1,1,17.9411764705882
"160","job0003667",NA,"packager","manufacturing",584,140,2,20100,0,1,1,1,17.25
"161","job0003684","HEALTH_CARE","registered nurse","mednurse",1272,195,3,75300,1,1,1,1,18
"162","job0003730",NA,"human resources manager","hr",940,135,NA,51200,0,1,1,0,26.5
"163","job0003756",NA,"territory sales","sales",2473,435,2,49400,0,1,1,1,16
"164","job0003763",NA,"development operations manager","techsoftware",5750,807,7,115100,0,1,1,1,14
"165","job0003770",NA,"resident engineer","engid",2864,426,6,74100,0,1,1,1,12
"166","job0003781",NA,"team leader","management",4450,709,1,38200,0,1,1,1,22
"167","job0003783",NA,"clinical laboratory scientist","medtech",1867,320,NA,43000,0,1,1,0,14.3333333333333
"168","job0003784",NA,"dock worker","warehouse",3811,610,1,39300,0,1,1,1,6
"169","job0003793","HEALTH_CARE","licensed vocational nurse","mednurse",8898,1261,4,62800,1,1,1,1,13.6
"170","job0003810",NA,"room attendant","sanitation",935,180,NA,17100,0,1,1,0,27.2222222222222
"171","job0003824",NA,"server","food",3340,539,NA,17300,0,1,1,0,13
"172","job0003856",NA,"telemarketer","sales",1651,342,NA,44000,0,1,1,0,11.7692307692308
"173","job0003950",NA,"supervisor","management",4908,788,1,20500,0,1,1,1,19.6
"174","job0003982","AUTO","lot attendant","install",4315,688,NA,18000,1,1,1,0,12.0666666666667
"175","job0004000",NA,"cook","food",1936,352,0.5,24100,0,1,1,1,12.7894736842105
"176","job0004017",NA,"co-manager","management",4197,600,2,117800,0,1,1,1,11.25
"177","job0004086",NA,"senior sql developer","techsoftware",5982,900,5,92400,0,1,1,1,23.5
"178","job0004095",NA,"psychiatric technician ii","medtech",5207,725,2,44200,0,1,1,1,11.8333333333333
"179","job0004105","HEALTH_CARE","speech therapist","therapy",2088,336,2,70700,1,1,1,1,16.4666666666667
"180","job0004133",NA,"maintenance assistant","install",4459,693,NA,22200,0,1,1,0,15.3333333333333
"181","job0004136",NA,"bartender","food",2046,388,NA,16100,0,1,1,0,38.6666666666667
"182","job0004202",NA,"refrigeration technician","install",3608,569,3,56700,0,1,1,1,12.8
"183","job0004233",NA,"marketing coordinator","marketing",3085,471,3,44500,0,1,1,1,16.7647058823529
"184","job0004257",NA,"registered nurse - home health","mednurse",1517,304,1,61600,0,1,1,1,15.4
"185","job0004419",NA,"caregiver","care",2377,373,NA,18900,0,1,1,0,28.8
"186","job0004476",NA,"maintenance person","install",980,242,NA,22300,0,1,1,0,20
"187","job0004479",NA,"sales engineer","sales",4030,570,7,131700,0,1,1,1,15.2142857142857
"188","job0004483",NA,"esthetician","personal",481,62,NA,44500,0,1,1,0,15.9
"189","job0004511",NA,"program analyst","project",2081,305,NA,63500,0,1,1,0,17
"190","job0004515",NA,"production artist","arts",2398,399,NA,35700,0,1,1,0,24
"191","job0004531",NA,"bilingual sales representative","sales",1267,179,NA,53600,0,1,1,0,14.8
"192","job0004549",NA,"registered nurse","mednurse",7242,1052,3,70800,0,1,1,1,11.6
"193","job0004553",NA,"trainee manager","management",2280,389,NA,42700,0,1,1,0,43.2
"194","job0004567",NA,"truck driver","driver",1132,223,5,39800,0,1,1,1,3
"195","job0004576",NA,"operations analyst","techinfo",2322,374,2,73600,0,1,1,1,17.5
"196","job0004582",NA,"sales representative","sales",836,162,NA,31100,0,1,1,0,11
"197","job0004644",NA,"commercial manager","management",1032,157,3,56300,0,1,1,1,18
"198","job0004646",NA,"technician","install",2132,410,0.5,41400,0,1,1,1,5
"199","job0004668",NA,"sales specialist","sales",4319,713,NA,31300,0,1,1,0,16.35
"200","job0004703",NA,"massage therapist","personal",1908,354,NA,24800,0,1,1,0,16.5294117647059
"201","job0004712","HUMAN_RESOURCES_AND_STAFFING","electrical engineer","engelectric",2442,408,5,76900,1,1,1,1,10
"202","job0004740","FOOD_AND_BEVERAGES","front end associate","retail",2506,388,2,24000,1,1,1,1,11.5
"203","job0004745","FOOD_AND_BEVERAGES",NA,NA,1944,332,NA,19700,1,0,0,0,21.5
"204","job0004749",NA,"data scientist","math",1869,266,5,113100,0,1,1,1,17.8181818181818
"205","job0004761",NA,"cashier","retail",1758,327,NA,18300,0,1,1,0,12.7
"206","job0004769",NA,"security officer","protective",4370,731,NA,18500,0,1,1,0,21
"207","job0004794","CONSUMER_GOODS_AND_SERVICES","bartender","food",154,72,NA,35600,1,1,1,0,14.8181818181818
"208","job0004798",NA,"tennis instructor","sports",2094,412,NA,36200,0,1,1,0,15.4444444444444
"209","job0004809","HUMAN_RESOURCES_AND_STAFFING","mechanical inspector","construction",964,148,3,35600,1,1,1,1,17.6666666666667
"210","job0004851",NA,"senior software engineer","techsoftware",2153,387,8,119600,0,1,1,1,4
"211","job0004912","ENERGY_AND_UTILITIES","sales consultant","sales",940,169,NA,46500,1,1,1,0,32
"212","job0004946",NA,"senior construction estimator","construction",1728,240,5,57300,0,1,1,1,22.8695652173913
"213","job0005015",NA,NA,NA,2058,394,2,36800,0,0,0,1,15.4444444444444
"214","job0005028",NA,"volleyball coach","sports",827,161,NA,37300,0,1,1,0,11.4375
"215","job0005039",NA,"retail sales associate","retail",1430,198,NA,24900,0,1,1,0,9.71428571428571
"216","job0005045",NA,"clinical research coordinator","science",1542,316,NA,41000,0,1,1,0,15.1333333333333
"217","job0005046",NA,"manager","management",5488,843,7,55500,0,1,1,1,12.1666666666667
"218","job0005049",NA,"physical therapist","therapy",2036,334,2,72800,0,1,1,1,28
"219","job0005060",NA,"licensed vocational nurse","mednurse",6161,928,NA,32000,0,1,1,0,13
"220","job0005073","REAL_ESTATE","maintenance supervisor","install",1289,216,NA,40100,1,1,1,0,16.6
"221","job0005080","INTERNET_AND_SOFTWARE","senior engineer","uncategorized",2103,336,3,108900,1,1,1,1,3
"222","job0005092","HEALTH_CARE","registered nurse - nicu","mednurse",311,78,NA,54600,1,1,1,0,18.75
"223","job0005103",NA,"technical support","techhelp",1771,265,NA,67600,0,1,1,0,5
"224","job0005107",NA,"facilitator","service",3314,547,NA,60400,0,1,1,0,13.047619047619
"225","job0005178",NA,"senior graphic designer","media",3774,557,2,39000,0,1,1,1,13
"226","job0005186",NA,"assistant store manager","retail",1341,243,NA,41000,0,1,1,0,12.0869565217391
"227","job0005191",NA,"instructor","education",1324,214,3,32200,0,1,1,1,13.6875
"228","job0005280",NA,"grounds maintenance worker","install",1558,322,NA,28200,0,1,1,0,14.4736842105263
"229","job0005287",NA,"marketing specialist","marketing",678,89,NA,28900,0,1,1,0,14.6363636363636
"230","job0005318",NA,"assistant","uncategorized",2313,308,NA,36400,0,1,1,0,13.6875
"231","job0005335",NA,"shop technician","install",3474,611,NA,26000,0,1,1,0,5
"232","job0005336",NA,"shuttle driver","driver",3135,511,18,23300,0,1,1,1,8
"233","job0005386",NA,"director of analytics","management",3082,478,7,119800,0,1,1,1,17.3636363636364
"234","job0005396",NA,"school teacher","education",5995,911,NA,21600,0,1,1,0,12.9473684210526
"235","job0005406","CONSTRUCTION","safety coordinator","hr",1283,182,2,60300,1,1,1,1,14.1363636363636
"236","job0005447",NA,"human resources coordinator","hr",3174,522,2,48100,0,1,1,1,15.952380952381
"237","job0005455",NA,"auto body technician","install",504,113,2,35300,0,1,1,1,15.3529411764706
"238","job0005464",NA,"back end developer","techsoftware",826,185,8,105300,0,1,1,1,16.6666666666667
"239","job0005484",NA,"seasonal associate","uncategorized",2594,473,1,18900,0,1,1,1,11.7142857142857
"240","job0005485",NA,"senior staff accountant","accounting",2361,382,2,64300,0,1,1,1,16
"241","job0005502",NA,"stocker","warehouse",3335,570,NA,30800,0,1,1,0,17
"242","job0005527",NA,"customer service representative","customer",4615,683,NA,30000,0,1,1,0,18.6086956521739
"243","job0005563",NA,"elementary school teacher","education",1332,246,NA,27800,0,1,1,0,11.625
"244","job0005569",NA,"senior software engineer","techsoftware",2345,417,5,117600,0,1,1,1,14.6
"245","job0005611",NA,"registered nurse","mednurse",11473,1586,NA,49200,0,1,1,0,19.4
"246","job0005621",NA,"technician","install",1850,287,NA,26100,0,1,1,0,15.1818181818182
"247","job0005695","HEALTH_CARE","psychology associate","socialscience",3077,491,NA,75100,1,1,1,0,14.0833333333333
"248","job0005771","HEALTH_CARE","registered nurse","mednurse",2846,499,NA,50400,1,1,1,0,14.1111111111111
"249","job0005772",NA,"refrigeration technician","install",1195,153,NA,28400,0,1,1,0,17.2916666666667
"250","job0005791",NA,"hvac technician","install",2248,360,2,46800,0,1,1,1,13
"251","job0005796",NA,"parent educator","service",4132,686,2,27900,0,1,1,1,18.5
"252","job0005813",NA,"partner","uncategorized",2435,359,NA,32100,0,1,1,0,13
"253","job0005853",NA,"office assistant","admin",4059,602,1,31500,0,1,1,1,8
"254","job0005863",NA,"business analyst","techinfo",3928,583,7,73400,0,1,1,1,34
"255","job0005871",NA,"marketing manager","marketing",2567,366,5,98200,0,1,1,1,17.875
"256","job0005880",NA,"director of student affairs","management",3017,442,4,83300,0,1,1,1,16.7391304347826
"257","job0005899",NA,"facilities manager","management",6168,833,NA,80400,0,1,1,0,15
"258","job0005915",NA,"alarm technician","install",4021,585,0,50700,0,1,1,1,16.9333333333333
"259","job0005938",NA,"sales executive","sales",7431,1094,2,85100,0,1,1,1,18
"260","job0005940",NA,"dishwasher","food",5144,843,NA,16900,0,1,1,0,9.65217391304348
"261","job0005976",NA,NA,NA,1589,308,NA,25300,0,0,0,0,14.5294117647059
"262","job0006000","CONSULTING_AND_BUSINESS_SERVICES","junior auditor","accounting",2592,380,NA,44500,1,1,1,0,9.6
"263","job0006074",NA,"finisher","manufacturing",408,78,NA,32300,0,1,1,0,17.9230769230769
"264","job0006137",NA,"truck driver","driver",952,193,1,48900,0,1,1,1,27.64
"265","job0006169",NA,"partner","uncategorized",4977,722,NA,149000,0,1,1,0,15.304347826087
"266","job0006229",NA,"administrative assistant","admin",911,119,NA,31700,0,1,1,0,18.7692307692308
"267","job0006232",NA,NA,NA,108,74,NA,50100,0,0,0,0,13.7777777777778
"268","job0006251",NA,"seller","sales",1329,216,2,83100,0,1,1,1,14.4545454545455
"269","job0006253",NA,"case manager","service",619,173,3,75500,0,1,1,1,14.6
"270","job0006302",NA,"stocker","warehouse",705,141,NA,20300,0,1,1,0,12.24
"271","job0006303",NA,"training instructor","service",865,198,NA,22600,0,1,1,0,17
"272","job0006322",NA,"seasonal associate","uncategorized",342,70,NA,28700,0,1,1,0,15.1739130434783
"273","job0006324",NA,"seasonal associate","uncategorized",323,104,NA,28700,0,1,1,0,14.2692307692308
"274","job0006327",NA,"pet sitter","veterinary",759,158,NA,18600,0,1,1,0,10.9565217391304
"275","job0006358",NA,"cashier","retail",863,134,NA,19700,0,1,1,0,15.88
"276","job0006371",NA,"stocker","warehouse",708,177,NA,20100,0,1,1,0,15.76
"277","job0006385",NA,"stocker","warehouse",735,117,NA,20500,0,1,1,0,14.5652173913043
"278","job0006417",NA,NA,NA,658,203,NA,24700,0,0,0,0,15.4545454545455
"279","job0006432",NA,"restaurant manager","food",1428,294,2,35400,0,1,1,1,17
"280","job0006457",NA,"brand ambassador","marketing",2693,439,NA,31400,0,1,1,0,14.5263157894737
"281","job0006479",NA,"laboratory assistant","science",5999,888,NA,33800,0,1,1,0,10
"282","job0006488",NA,"web developer","techsoftware",1343,237,NA,83200,0,1,1,0,19.25
"283","job0006514",NA,"sales representative","sales",1539,228,2,35700,0,1,1,1,10.88
"284","job0006523",NA,"project engineer","project",2939,410,5,76400,0,1,1,1,12
"285","job0006526",NA,"software engineer","techsoftware",3771,627,NA,121800,0,1,1,0,13.0555555555556
"286","job0006527",NA,"release engineer","techsoftware",2318,373,5,119900,0,1,1,1,11.6666666666667
"287","job0006543",NA,"senior food service worker","food",746,138,NA,22100,0,1,1,0,14.6666666666667
"288","job0006566","HEALTH_CARE","laboratory assistant","science",409,105,NA,49800,1,1,1,0,37.8823529411765
"289","job0006568","HEALTH_CARE","dietitian","medtech",3281,403,NA,56000,1,1,1,0,19.5384615384615
"290","job0006578",NA,"human resources business partner","hr",1852,355,5,137200,0,1,1,1,16
"291","job0006591",NA,"retail sales associate","retail",1274,267,NA,27500,0,1,1,0,14.5769230769231
"292","job0006597",NA,"fitness trainer","sports",3196,534,NA,37800,0,1,1,0,17
"293","job0006604",NA,"data scientist","math",1742,312,4,63200,0,1,1,1,21.4375
"294","job0006626",NA,"front end developer","techsoftware",2039,403,NA,92400,0,1,1,0,13.5
"295","job0006665",NA,"advocacy manager","service",2063,319,NA,39500,0,1,1,0,23
"296","job0006744","RESTAURANTS_TRAVEL_AND_LEISURE","cook","food",2855,523,NA,19900,1,1,1,0,14.4166666666667
"297","job0006757",NA,"kitchen team member","food",419,113,NA,26700,0,1,1,0,12.7727272727273
"298","job0006810",NA,"application developer","techsoftware",1637,261,3,99300,0,1,1,1,13.4090909090909
